"SCI_Name_updated","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Nocturnal"
"Acanthis flammea",11.4,7.8,4.5,6.5,15.6,75.5,23.5,52,31.1,58.7,13,0,0,0,0,0,0,0,0,0,40,0,0,0,50,50,0,0,0,0
"Accipiter cooperii",25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,0,90,10,0,0,0,0,0,0,0,0,0,40,20,20,10,10,0,0
"Accipiter gentilis",33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,0,90,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"Accipiter striatus",18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,0,100,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,0,0
"Aechmophorus clarkii",77.9,58.8,7.5,11.6,76.6,195.4,79.8,111.7,41.8,34,1090.9,10,0,0,90,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"Aechmophorus occidentalis",73.2,54.1,6.6,10.2,71.7,184.5,75.4,109,40.8,29.8,1137,10,0,0,90,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"Aegolius acadicus",18.2,9.9,7,10.5,23.6,135.2,40.2,95,29.8,78,100.7,20,80,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,1
"Aeronautes saxatalis",7,3,2.9,2.5,10.6,140.3,98.2,42.1,69.8,63.7,32.1,100,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,90,0,0
"Agelaius phoeniceus",22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.8,50,0,0,0,0,0,0,0,50,0,0,0,90,10,0,0,0,0,0
"Agelaius tricolor",22.2,14.7,4.9,7.3,26.7,113.2,35.3,77.9,31.2,83,57.9,70,0,0,0,0,0,0,0,30,0,0,0,100,0,0,0,0,0,0
"Aimophila ruficeps",14.9,8.2,4.1,5,19.8,59.9,7.7,52.2,12.8,62,18.7,50,0,0,0,0,0,0,0,50,0,0,0,60,20,20,0,0,0,0
"Aix sponsa",38.6,24.7,15.1,11.4,32.9,220.5,108.5,111,49.4,106.8,657.6,0,0,0,0,0,0,0,0,50,50,0,80,20,0,0,0,0,0,0
"Ammospiza leconteii",11.2,7.1,4.2,5,17.3,53,10,43.1,18.8,52,4.2,20,0,0,0,0,0,0,0,80,0,0,0,80,20,0,0,0,0,0
"Ammospiza maritima",16.3,11.1,4.2,6.3,22.9,60.6,9.1,51.8,14.8,54.8,4.2,100,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,0
"Ammospiza nelsoni",14.4,8.7,3.8,5.2,21.7,56.4,12.4,44.1,21.9,47.7,3.8,50,0,0,0,0,0,0,0,50,0,0,0,90,10,0,0,0,0,0
"Ammodramus savannarum",13.8,8.2,4.5,6.1,20.1,58.2,12.3,46,21.1,41.4,17.6,60,0,0,0,0,0,0,0,40,0,0,0,80,20,0,0,0,0,0
"Amphispiza bilineata",11.7,8.2,4.6,5.9,18.1,63.5,11.3,52.2,17.7,64.8,13.5,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0
"Anas acuta",48.1,31.9,14.5,14.8,36.9,256.7,148.4,107.8,57.8,124.7,944.6,20,0,0,0,10,0,0,0,20,50,0,70,30,0,0,0,0,0,0
"Mareca americana",44.9,26.9,16,12.3,34.6,253.2,135.4,116.6,53.7,93.8,16,0,0,0,0,0,0,0,0,0,100,0,50,50,0,0,0,0,0,0
"Spatula clypeata",68.8,47.9,18.6,18.7,33.8,226.4,130.2,94.2,58,75.1,18.6,60,0,0,0,0,0,0,0,20,20,20,80,0,0,0,0,0,0,0
"Anas crecca",36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,30,0,0,0,0,0,0,0,20,50,0,100,0,0,0,0,0,0,0
"Spatula cyanoptera",50.5,33.8,16,13.9,30.1,187.5,94.8,90.5,51,70.4,16,20,0,0,0,0,0,0,0,30,50,0,100,0,0,0,0,0,0,0
"Spatula discors",47.3,31.8,15.6,12.6,29.1,178.3,98.7,84.6,53.8,66.7,15.6,10,0,0,0,0,0,0,0,30,60,0,100,0,0,0,0,0,0,0
"Anas fulvigula",59.2,42.4,21.9,15.9,40.5,244.5,119.2,125.2,48.8,85.2,843.4,40,0,10,10,0,0,0,0,20,20,20,60,20,0,0,0,0,0,0
"Mareca penelope",38.5,26.5,15.5,12.4,35.5,250.6,143,107.2,57.2,89.7,15.5,0,0,0,0,0,0,0,0,20,80,0,50,50,0,0,0,0,0,0
"Anas platyrhynchos",58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,40,0,10,10,0,0,0,0,20,20,20,60,20,0,0,0,0,0,0
"Anas rubripes",59.4,42,20.4,17,41.9,267.2,136.5,129.2,51.4,73.5,1241,40,0,0,0,0,0,0,0,30,30,20,80,0,0,0,0,0,0,0
"Mareca strepera",48.7,34.7,16.5,13.7,36.5,251.3,137,113,54.8,83,16.5,0,0,0,0,0,0,0,0,30,70,0,80,20,0,0,0,0,0,0
"Anhinga anhinga",85.6,78.8,11.1,14.7,39,339.6,66.6,273,19.6,267.2,1235,20,0,20,60,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"Anser albifrons",48.7,27.6,18.4,17.5,65,408.2,213.8,192.8,52.6,123.5,2506.4,0,0,0,0,0,0,10,0,0,90,0,20,80,0,0,0,0,0,0
"Aphelocoma californica",30.1,18.8,8.5,9.5,40.3,123.7,18.4,104.1,15,139.2,85.7,20,20,10,0,0,10,20,0,20,0,0,0,80,10,10,0,0,0,0
"Aquila chrysaetos",56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,0,80,10,0,0,10,0,0,0,0,0,0,100,0,0,0,0,0,0
"Archilochus colubris",20.7,15.1,1.8,1.9,3.4,40.7,27.6,14.7,65,24.3,3.1,40,0,0,0,0,0,0,60,0,0,0,0,0,40,40,0,20,0,0
"Ardea alba",126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,32.1,140.5,871.3,40,10,30,40,20,0,0,0,0,0,0,50,50,0,0,0,0,0,0
"Ardea herodias",143.9,106,15.9,24.2,167.6,466.4,169.5,294,36.6,165.3,2523.4,30,10,10,50,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0
"Asio flammeus",27.3,13.7,9,13,42.5,297.2,141,156.2,47.5,146.5,322.6,0,100,0,0,0,0,0,0,0,0,0,0,90,0,10,0,0,0,1
"Asio otus",28.3,14.9,8.8,12.5,40.1,280.7,115.5,165.2,41.2,137,296.6,0,100,0,0,0,0,0,0,0,0,0,0,80,10,10,0,0,0,1
"Athene cunicularia",24.1,15.5,7.9,13.7,43.4,180,51,128.9,28.3,80.2,150.6,20,70,10,0,0,0,0,0,0,0,0,0,80,10,10,0,0,0,1
"Auriparus flaviceps",9.8,7,3.2,3.9,15,52.1,7.6,45,14.4,48.9,6.8,70,0,0,0,0,0,10,10,10,0,0,0,70,30,0,0,0,0,0
"Aythya affinis",47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.5,20,0,0,0,0,0,0,0,30,50,100,0,0,0,0,0,0,0,0
"Aythya americana",49.7,33,18.8,14.6,35.7,218.6,104.6,122.4,46,56,1075.7,10,0,0,0,0,0,0,0,20,70,50,50,0,0,0,0,0,0,0
"Aythya collaris",51.4,29.9,18.9,13.6,33.2,194.8,92.6,99.4,48.2,57.6,704.6,20,0,0,0,0,0,0,0,20,60,0,100,0,0,0,0,0,0,0
"Aythya marila",47.8,29.7,22.9,14.3,34.2,213.5,104.1,108.9,48.9,53.5,1005.4,80,0,0,0,0,0,0,0,10,10,80,20,0,0,0,0,0,0,0
"Aythya valisineria",58.5,37,18.8,13.4,37.9,223.5,93.4,130.1,42,52.8,1202,10,0,0,10,0,0,0,0,20,60,60,40,0,0,0,0,0,0,0
"Baeolophus bicolor",13.3,8.8,4.9,5.5,20.5,77.9,12.5,65.2,16.1,68.6,21.6,60,0,0,0,0,0,0,0,40,0,0,0,20,20,40,20,0,0,0
"Baeolophus inornatus",11.2,8.4,4.3,5,20.7,68,9.7,57.4,14.4,57.6,15.9,60,0,0,0,0,0,0,10,10,20,0,0,0,20,80,0,0,0,0
"Baeolophus ridgwayi",11.7,8.3,4.2,5.1,20.8,72.5,7.7,64.8,10.5,63.4,15.9,60,0,0,0,0,0,0,10,10,20,0,0,20,30,50,0,0,0,0
"Bombycilla cedrorum",15.1,6.6,4.5,4.9,16.7,95.4,33.5,62,35.1,59.8,31.6,20,0,0,0,0,0,70,0,0,10,0,0,0,40,40,0,20,0,0
"Bombycilla garrulus",15.5,7.6,5.1,6,20.7,116.2,43.9,72.3,37.8,65.8,54.4,30,0,0,0,0,0,50,0,0,20,0,0,0,40,40,0,20,0,0
"Bonasa umbellus",25.4,13.3,10,9.7,42.2,183.2,69.8,112.2,38.3,152,530.9,10,0,0,0,0,0,20,0,0,70,0,0,60,40,0,0,0,0,0
"Botaurus lentiginosus",82.4,58.6,10.7,15.2,89.7,270.8,84.7,180.1,32,88.6,706,20,0,20,60,0,0,0,0,0,0,0,70,30,0,0,0,0,0,0
"Branta bernicla",40.7,21.5,14.8,13.5,55.2,319.6,167.7,152.7,52.3,94,1277.9,0,0,0,0,0,0,0,0,0,100,0,40,60,0,0,0,0,0,0
"Branta canadensis",50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,0,0,0,0,0,0,10,0,0,90,0,40,60,0,0,0,0,0,0
"Branta hutchinsii",42.1,20.9,17.1,12.3,71,396.3,176.6,219.7,44.5,120.7,2811.7,0,0,0,0,0,0,10,0,0,90,0,40,60,0,0,0,0,0,0
"Bubo virginianus",42.2,22.5,14.9,22.8,70.1,351.7,112.9,240.9,32,188.4,1354.5,10,90,0,0,0,0,0,0,0,0,0,10,80,10,0,0,0,0,1
"Bubulcus ibis",63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,29.9,90.9,366,60,10,10,10,0,10,0,0,0,0,0,30,70,0,0,0,0,0,0
"Bucephala albeola",28.8,18.9,12.9,9.9,30.1,160.8,75,83.5,47.4,65.4,397.5,70,0,0,20,0,0,0,0,10,0,100,0,0,0,0,0,0,0,0
"Bucephala clangula",38.1,17.7,16.1,11.9,34.1,208.7,105.4,99.4,51.4,82,918.6,70,0,0,10,0,0,0,0,10,10,80,20,0,0,0,0,0,0,0
"Bucephala islandica",34.9,18.2,16.6,12.7,38.2,221.7,103,115,47.2,86,921.2,80,0,0,0,0,0,0,0,10,10,80,20,0,0,0,0,0,0,0
"Buteo jamaicensis",37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,10,60,30,0,0,0,0,0,0,0,0,0,0,0,33,33,33,0,0
"Buteo lagopus",34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,10,80,0,10,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"Buteo lineatus",33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,20,40,40,0,0,0,0,0,0,0,0,0,33,33,33,0,0,0,0
"Buteo regalis",41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"Butorides virescens",67.1,51.4,9,11.2,52.1,177.8,58,122.2,32.2,63.6,201.5,30,0,30,40,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0
"Cairina moschata",65.9,38.7,22.6,15.7,56.2,345,124,226.8,35.2,160.2,2415.8,30,0,10,10,0,0,0,0,20,30,0,50,50,0,0,0,0,0,0
"Calamospiza melanocorys",17.6,10.6,6.5,9,24,86.6,20.9,64.9,24.3,64.5,37.6,30,0,0,0,0,0,10,0,60,0,0,0,50,10,10,20,10,0,0
"Calcarius lapponicus",12.3,8.9,5.8,6.8,21.1,94.9,29,65.7,30.7,67.8,27.8,50,0,0,0,0,0,0,0,50,0,0,0,70,10,20,0,0,0,0
"Calidris minutilla",20.3,15.1,2.4,3.2,18.4,86.4,32.1,53.1,37.7,39.2,22.9,100,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0
"Callipepla californica",14.1,7.2,5.6,6.8,28.5,108.2,28.3,79.5,26.2,82.2,165.7,0,0,0,0,0,0,0,0,50,50,0,0,100,0,0,0,0,0,0
"Callipepla gambelii",14.9,9.6,6.3,6.6,30.7,112.8,32,80.8,28.4,87.8,166,10,0,0,0,0,0,0,0,40,50,0,0,100,0,0,0,0,0,0
"Callipepla squamata",14,8.2,6,6.9,31.7,116,27.8,87.4,24.2,79.4,183.9,30,0,0,0,0,0,0,0,40,30,0,0,100,0,0,0,0,0,0
"Calypte anna",20.6,15.7,1.6,1.7,4.6,49,32.1,16.9,65.6,30,4.2,10,0,0,0,0,0,0,90,0,0,0,0,0,20,80,0,0,0,0
"Calypte costae",19.2,15.8,1.6,1.6,4.4,44.7,29,15.2,65.7,23.6,3.1,10,0,0,0,0,0,0,90,0,0,0,0,0,70,30,0,0,0,0
"Campylorhynchus brunneicapillus",26.1,16.4,4,5.7,26.2,83.2,11.3,70.7,13.7,86.4,38.9,70,0,20,0,0,0,0,0,10,0,0,0,50,50,0,0,0,0,0
"Caracara plancus",44.6,30.3,14.5,23.7,81.9,380,101.7,276.8,26.7,205.7,14.5,20,0,20,0,0,60,0,0,0,0,0,0,100,0,0,0,0,0,0
"Cardellina pusilla",11.6,6.6,3.2,3.1,17.9,56.3,11.5,44.1,20.7,48.1,7,80,0,0,80,0,0,0,10,10,0,0,0,0,20,80,0,0,0,0
"Cardinalis cardinalis",17.6,14.7,9.3,12.3,24.5,93.5,14.2,77.7,15.5,101.8,42.6,20,0,0,0,0,0,10,0,0,70,0,0,40,20,20,20,0,0,0
"Cardinalis sinuatus",15.3,10.3,7.3,12.6,24.4,93.3,13.9,79.4,14.9,103.2,35.2,30,0,0,0,0,0,0,0,70,0,0,0,60,20,10,10,0,0,0
"Cathartes aura",51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.2,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0
"Catharus guttatus",18.8,9.2,3.4,3.7,28.9,89,24,65.3,26.9,67.7,30.1,80,0,0,0,0,0,20,0,0,0,0,0,50,50,0,0,0,0,0
"Catherpes mexicanus",23.9,15.7,3.2,3.4,18.6,64.3,8.3,55.3,13.2,56,12,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"Certhia americana",16.2,9.6,2,2.8,14.2,63.6,15.3,48.2,24.1,63.3,8.1,70,0,0,0,0,0,0,0,20,10,0,0,10,30,30,30,0,0,0
"Chamaea fasciata",12.8,6.7,3,3.8,24.9,58,6.8,50.9,11.8,83.4,14.7,50,0,0,0,0,0,30,0,20,0,0,0,0,80,20,0,0,0,0
"Charadrius vociferus",21.5,13.1,3.5,4.2,34.4,158.8,83.5,75.2,52.6,85.8,96.4,90,0,0,0,0,0,0,0,10,0,0,0,100,0,0,0,0,0,0
"Anser caerulescens",61.8,36,19.4,24.7,76.7,411.8,214.5,194.2,52.5,123.5,19.4,0,0,0,0,0,0,0,0,10,90,0,20,80,0,0,0,0,0,0
"Chondestes grammacus",15.1,9.7,5.1,7.1,20.1,85.5,24.7,60.9,28.8,64.3,29,30,0,0,0,0,0,0,0,70,0,0,0,80,10,10,0,0,0,0
"Chroicocephalus philadelphia",35,16.2,3.6,6.6,32.3,259.4,153.2,106.5,59,95.6,210.7,50,0,0,50,50,0,0,0,0,0,40,50,10,0,0,0,0,0,0
"Cinclus mexicanus",21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,26.5,51.8,56.7,80,0,10,10,0,0,0,0,0,0,40,40,20,0,0,0,0,0,0
"Circus hudsonius",30.1,16,9.7,13,72.1,352.4,158.9,197.1,44.7,131.7,393,10,70,10,0,0,10,0,0,0,0,0,0,100,0,0,0,0,0,0
"Cistothorus palustris",16,9.9,2.7,3.4,19.2,48.4,9.7,38.7,20,39.5,10.8,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"Cistothorus stellaris",14.9,7.7,2.3,2.9,20.3,45.7,6.1,39.6,13.4,47.2,9,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"Clangula hyemalis",32.1,19.2,16,11.9,33.1,215.6,108.5,105,50.9,130.8,871,80,0,0,0,0,0,10,0,0,10,100,0,0,0,0,0,0,0,0
"Coccothraustes vespertinus",22.7,16,10.5,14.5,21.4,109.8,37.6,72.4,34.2,67.2,57.3,10,0,0,0,0,0,20,0,40,30,0,0,0,50,50,0,0,0,0
"Colaptes auratus",40.2,29.4,8.5,7.9,28.7,156.9,38.3,119.2,24.3,109.5,131.5,70,0,0,0,0,0,20,0,10,0,0,0,100,0,0,0,0,0,0
"Colinus virginianus",14.9,8.6,7,8.4,29.6,109.8,30.3,79.4,27.6,56.8,171.9,0,0,0,0,0,0,0,0,70,30,0,0,100,0,0,0,0,0,0
