"SCI_Name_updated","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Nocturnal"
"Perisoreus canadensis",24.6,14.3,9,8.6,36.3,150.4,27.2,123.2,18.1,135.9,71.6,40,10,10,0,0,0,30,0,0,10,0,0,60,20,20,0,0,0,0
"Phainopepla nitens",13.4,8.1,5,4.1,20.9,92.6,16.6,81.9,16.9,92.7,22.1,40,0,0,0,0,0,60,0,0,0,0,0,0,40,40,0,20,0,0
"Nannopterum auritum",68.2,49.8,12,17,64.2,311.8,126.8,185,40.8,154.2,12,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"Nannopterum brasilianum",62.6,44.6,11.9,14.9,48.7,275.4,91.8,191.7,32.4,187.2,11.9,30,0,20,50,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"Phasianus colchicus",34.9,20.8,12.5,11.9,63.4,231.6,60.4,170.9,26.1,393.1,1120.3,10,0,0,0,0,0,30,0,30,30,0,0,100,0,0,0,0,0,0
"Pica hudsonia",38.6,24.7,11.1,12.9,47.7,202.8,49.6,152.1,24.6,262,177.1,30,20,0,0,0,30,0,0,0,20,0,0,70,10,10,0,10,0,0
"Dryobates borealis",18.2,14.1,6.8,6.1,21.1,117,37.2,78.8,32.1,85,6.8,70,0,0,0,0,0,20,0,10,0,0,0,0,50,50,0,0,0,0
"Dryobates nuttallii",19.5,16,5.9,5.8,18,102.2,24.8,76.7,24.4,70.8,5.9,70,0,0,0,0,0,10,10,10,0,0,0,20,40,40,0,0,0,0
"Dryobates pubescens",17.4,12.2,4.9,4.8,15.8,91.3,24.3,65.9,27,58.6,4.9,80,0,0,0,0,0,10,0,10,0,0,0,0,20,40,40,0,0,0
"Dryobates scalaris",19.5,16,5.9,5.8,18,102.2,24.8,76.7,24.4,70.8,5.9,80,0,0,0,0,0,20,0,0,0,0,0,10,30,30,30,0,0,0
"Dryobates villosus",31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,8.2,70,0,0,0,0,0,10,10,10,0,0,0,20,30,50,0,0,0,0
"Pinicola enucleator",16.6,12.3,8.6,11.2,19.6,109.2,32.1,77.1,29.4,85.1,56.4,20,0,0,0,0,0,20,0,30,30,0,0,0,0,80,20,0,0,0
"Pipilo chlorurus",15.1,9.3,4.7,6.9,24.1,77.6,13.1,64.9,16.8,87.6,29.4,40,0,0,0,0,0,20,0,40,0,0,0,70,30,0,0,0,0,0
"Pipilo erythrophthalmus",15.4,9.8,5.5,8.2,27,82.3,11.1,70.8,13.6,91.7,40,30,0,0,0,0,0,30,0,40,0,0,0,80,20,0,0,0,0,0
"Pipilo maculatus",17.2,10.3,5.9,8,27.9,84.3,11.8,74,13.7,97.6,39.3,50,0,0,0,0,0,20,0,30,0,0,0,70,30,0,0,0,0,0
"Platalea ajaja",159.8,126.6,27.6,17.1,97.7,349,119.3,235.9,33.6,93.6,1490,40,0,0,50,0,0,0,0,0,10,0,100,0,0,0,0,0,0,0
"Plectrophenax nivalis",12.8,8.4,4.7,6.4,20.7,107.4,41.5,66,38.6,66.8,42.2,30,0,0,0,0,0,0,0,0,70,0,0,90,10,0,0,0,0,0
"Plegadis chihi",118.7,99.4,10.3,14,86.1,246.5,93.8,149,38.6,95.5,616.9,80,0,10,10,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0
"Plegadis falcinellus",117.2,102.8,10.4,13.9,86.4,274.8,104.7,165.3,38.9,102.7,626.6,80,0,10,10,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0
"Podiceps auritus",30.2,15.4,4.7,7.1,42.9,137.8,57.2,78.3,42.2,33.2,453,40,0,0,60,0,0,0,0,0,0,70,30,0,0,0,0,0,0,0
"Podiceps grisegena",48.1,27.3,6.2,10.2,54.4,167.1,66.8,96.4,40.9,32,1023,50,0,0,50,0,0,0,0,0,0,70,30,0,0,0,0,0,0,0
"Podiceps nigricollis",26.2,15.4,5.5,5.9,39.6,127.2,55.1,70.1,44,28,412.4,80,0,10,10,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0
"Podilymbus podiceps",28.8,14.1,5.4,10.6,37.1,125.6,41.8,81.1,34,32.6,411.9,70,0,10,20,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
"Poecile atricapillus",10.3,7.2,3.7,4,16.8,64.4,12,52.5,18.6,61.7,10.8,60,0,0,60,0,0,0,20,0,20,0,0,0,20,80,0,0,0,0
"Poecile carolinensis",8.9,6.6,3.5,3.7,14.8,58.8,11.4,47,19.5,49.6,10,60,0,0,60,0,0,0,0,0,40,0,0,0,50,50,0,0,0,0
"Poecile gambeli",11.8,8.9,3.4,3.8,18.1,68.8,13.2,55.5,19.2,59.5,11.2,60,0,0,60,0,0,0,20,0,20,0,0,0,20,80,0,0,0,0
"Poecile rufescens",10.8,6.7,2.8,3.2,15.8,61.1,10.9,50.2,17.8,47,9.4,60,0,0,60,0,0,0,20,0,20,0,0,0,0,40,60,0,0,0
"Polioptila caerulea",11.3,7.4,2.8,2.3,15.9,50.8,9.6,40.8,19.1,49.1,5.8,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
"Polioptila melanura",10.7,6.5,2.5,2.5,16.1,47.8,5.7,42.1,11.9,54.8,5.2,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
"Pooecetes gramineus",12,7.7,4.9,6.6,20.1,78.6,18.8,60,23.9,59.6,25.7,50,0,0,0,0,0,0,0,50,0,0,0,80,10,10,0,0,0,0
"Porzana carolina",20.4,10.1,3,5.7,30.1,102.5,34.8,69.5,33.4,50.8,74.8,40,0,0,0,0,0,0,0,30,30,0,40,40,20,0,0,0,0,0
"Psaltriparus minimus",7.8,4.6,2.4,3.4,15.7,45.2,8.8,36.5,19.4,52.2,5.3,70,0,0,0,0,0,10,0,10,10,0,0,0,50,50,0,0,0,0
"Pyrocephalus rubinus",14.4,9.7,5.4,4,16.7,74.3,16.7,57.7,22.4,57.6,14.4,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
"Quiscalus major",38.5,28.1,6.9,10.5,42.8,155,47.6,111.9,29.7,141.4,151.2,40,10,0,10,0,10,0,0,30,0,0,0,70,20,10,0,0,0,0
"Quiscalus mexicanus",43.3,29.2,8.2,11.5,47.9,168.6,46,126.4,26.8,170.1,160.5,80,0,0,0,0,0,0,0,20,0,0,0,80,10,10,0,0,0,0
"Quiscalus quiscula",33,21.8,7.3,10.5,35.6,132.9,34.3,98.2,25.9,118.2,105.2,40,10,0,10,0,0,0,0,40,0,0,0,70,20,10,0,0,0,0
"Rallus elegans",59.1,35.6,4.4,8.1,53.2,158.4,38.6,118.2,24.6,58,313.3,30,0,30,20,0,0,0,0,20,0,0,50,50,0,0,0,0,0,0
"Rallus limicola",37.8,24.9,2.9,5.4,32.4,101,26.8,74.2,26.5,38.6,84.1,20,0,20,20,0,0,0,0,20,20,0,50,50,0,0,0,0,0,0
"Recurvirostra americana",91.2,73.9,6.6,5.2,92,218.2,104.4,113.8,47.8,81.8,304.5,80,0,0,0,0,0,0,0,20,0,0,50,50,0,0,0,0,0,0
"Corthylio calendula",10.6,6.3,2.7,2.2,18.4,58,12.6,44.9,22,42.2,2.7,80,0,0,0,0,0,0,0,20,0,0,0,0,50,50,0,0,0,0
"Regulus satrapa",9,5.4,2.1,2.5,16.2,57.2,13.4,43.4,23.6,42.8,6.2,100,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0
"Salpinctes obsoletus",19.9,12.6,2.9,3.4,20.1,69,11.8,56.6,17.3,55.6,16.4,80,0,20,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"Sayornis nigricans",18.1,9.9,5.9,4,17.4,86.3,19.4,68.9,22,77.2,18.6,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0
"Sayornis phoebe",17.4,9.7,5.5,4.1,17.7,83.9,17.4,66.7,20.6,70.1,19.7,90,0,0,0,0,0,10,0,0,0,0,0,0,50,50,0,0,0,0
"Sayornis saya",19.5,11.3,5.4,4.2,20.2,104.4,26.8,77.7,25.6,79.8,20.9,90,0,0,0,0,0,10,0,0,0,0,0,50,50,0,0,0,0,0
"Scolopax minor",71.9,60.6,6.4,9.4,31.3,129.8,40,90.8,30.6,63.4,196.3,100,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0
"Seiurus aurocapilla",15.1,8.9,3.6,4.1,22.3,73.2,18.3,55.1,24.9,50.4,18.8,70,0,10,0,0,0,10,0,10,0,0,0,80,20,0,0,0,0,0
"Setophaga coronata",13.1,7.2,3.3,3.4,18.7,73.8,18.8,55.2,25.4,56.5,11.9,70,0,0,70,0,0,0,10,10,10,0,0,0,50,50,0,0,0,0
"Setophaga discolor",11.8,7.2,2.8,2.9,17.7,55.5,11.1,44.4,20,48.4,7.6,80,0,0,80,0,0,0,10,10,0,0,0,20,60,20,0,0,0,0
"Setophaga dominica",14.9,9.8,3,3.4,16.8,67.7,18.8,49,27.7,50.7,9.7,100,0,0,100,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0
"Setophaga nigrescens",12.1,6.9,3.4,3.7,18.2,63.2,14.8,48.5,23.4,49,8.7,100,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"Setophaga palmarum",12.9,7.1,2.8,3.1,19.1,63.7,12.7,50.4,20.1,51,10.3,70,0,0,70,0,0,0,10,10,10,0,0,100,0,0,0,0,0,0
"Setophaga pinus",13.4,8,3.1,3.8,18.6,71.8,20.6,51.2,28.6,54,11.8,70,0,0,70,0,0,0,10,10,10,0,0,20,0,80,0,0,0,0
"Setophaga townsendi",12.4,7.4,3,3.2,18.2,63.8,17.7,46.1,27.8,49.5,8.8,100,0,0,100,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0
"Sialia currucoides",16.4,9.6,3.9,3.9,21.9,114,41,71.2,36.6,70,29.6,60,0,0,0,0,0,30,0,10,0,0,0,100,0,0,0,0,0,0
"Sialia mexicana",15.1,8.6,3.4,3.9,19.8,104.4,39.2,66.2,37.2,64.2,26.4,70,0,0,0,0,0,20,0,10,0,0,0,100,0,0,0,0,0,0
"Sialia sialis",15.4,9.1,4.2,4.5,19.7,95.8,31.4,64.4,32.8,62.5,27.5,70,0,0,0,0,0,30,0,0,0,0,0,100,0,0,0,0,0,0
"Sitta canadensis",14,10.4,3.3,3.2,14.5,66.4,17.3,48.9,26.2,35.6,9.8,50,0,0,0,0,0,0,0,50,0,0,0,0,33,33,33,0,0,0
"Sitta carolinensis",19.1,12.2,4,4.2,18.5,88.6,27.6,60.9,31.2,48.8,21,50,0,0,0,0,0,0,0,50,0,0,0,0,33,33,33,0,0,0
"Sitta pusilla",15.3,10.4,3.3,3.9,14.8,65,15.1,49.9,23.3,35.4,10.2,60,0,0,0,0,0,0,0,40,0,0,0,0,0,40,60,0,0,0
"Sitta pygmaea",14.1,9.7,3.2,3.7,16.8,66.4,11.9,54.4,18,38.3,10.6,60,0,0,0,0,0,0,0,40,0,0,0,0,0,40,60,0,0,0
"Sphyrapicus nuchalis",21.7,17,7,6,19.9,122.8,39,83.8,31.7,75.8,48.5,50,0,0,0,0,0,10,30,10,0,0,0,0,20,40,40,0,0,0
"Sphyrapicus ruber",25.8,21.5,8,7.1,21.6,126.6,38.4,88.2,30.4,80.8,54.8,70,0,0,0,0,0,0,0,0,30,0,0,0,0,20,80,0,0,0
"Sphyrapicus varius",24.8,19.2,6.7,6.3,20.5,124.8,42.2,82.6,33.9,74,50.3,50,0,0,0,0,0,10,30,10,0,0,0,0,30,40,30,0,0,0
"Spinus pinus",14,9,4.3,5.5,13.9,72.4,25.6,47,35.2,48.3,12.7,10,0,0,10,0,0,0,10,0,70,0,0,50,0,50,0,0,0,0
"Spinus psaltria",10.2,7.8,4.7,6.3,12.4,60.9,16.2,46.2,26,40.4,8.8,10,0,0,10,0,0,0,30,0,30,0,0,20,40,40,0,0,0,0
"Spinus tristis",11.5,8.2,4.3,6.3,13.5,69.8,19.1,50.3,27.6,48.3,12.8,10,0,0,10,0,0,0,0,10,60,0,0,33,33,33,0,0,0,0
"Spizella breweri",12.3,6.7,3.6,4.4,16.8,62.8,12.9,50.1,20.5,57.3,10.9,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0
"Spizella passerina",13.1,7,4,4.9,16.3,68,16.3,51,24.2,56,12.2,40,0,0,0,0,0,0,0,60,0,0,0,80,10,10,0,0,0,0
"Spizella pusilla",10.4,6.6,4.3,5.2,17.9,64.4,10.8,53.5,16.7,62,12.5,40,0,0,0,0,0,0,0,60,0,0,0,100,0,0,0,0,0,0
"Spizelloides arborea",11.8,7.9,4.6,6.2,20.2,72.2,14.5,58.5,19.9,69.2,17.8,50,0,0,50,0,0,0,0,0,50,0,0,60,20,20,0,0,0,0
"Stelgidopteryx serripennis",10.4,4.8,3.4,2.5,11.1,107.2,54.7,53.1,50.7,47.6,15.7,100,0,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,0
"Sterna forsteri",45.3,28,4.9,8.8,24.3,252.6,173.5,79,68.7,131.4,149,20,0,0,80,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0
"Streptopelia decaocto",21.5,9.6,3.8,4.2,22.1,174.6,62.7,111.2,36.1,132.3,149,10,0,0,0,0,0,30,0,40,20,0,0,80,10,10,0,0,0,0
"Strix varia",38.8,21.6,11.2,19.6,60.1,341.2,101,240.2,29.6,218.3,711.5,10,70,10,10,0,0,0,0,0,0,0,10,60,20,10,0,0,0,1
"Sturnella magna",33.5,20,6.1,8.2,39.8,108.1,28.4,86.1,24.8,67.4,91.8,70,0,0,0,0,0,10,0,20,0,0,0,100,0,0,0,0,0,0
"Sturnella neglecta",33.8,22,6.1,7.5,35,117,32.5,84.5,27.8,71.6,100.1,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0
"Sturnus vulgaris",30.2,18.5,6.6,6.5,29,128.3,49.2,79.1,38.4,65.8,77.1,20,0,10,0,0,10,30,10,20,0,0,0,80,20,0,0,0,0,0
"Tachycineta bicolor",10.8,5.9,3.8,2.8,12.2,115.9,61.3,54.3,53,54,21.2,90,0,0,0,0,0,10,0,0,0,0,0,20,20,20,20,20,0,0
"Thryomanes bewickii",15.5,10.1,2.6,3,17.5,54,7.3,46.1,13.8,51.2,9.9,80,0,0,0,0,0,20,0,0,0,0,0,50,50,0,0,0,0,0
"Thryothorus ludovicianus",16.9,11.1,3.2,3.9,21.4,59.4,6.8,52.6,11.4,50.7,19,60,0,20,0,0,0,10,0,10,0,0,0,40,40,20,0,0,0,0
"Toxostoma crissale",32.1,22.3,5.7,6.1,29.6,101.2,19.5,81.5,19.3,109.4,62.7,80,0,0,0,0,0,10,0,10,0,0,0,50,50,0,0,0,0,0
"Toxostoma curvirostre",35.2,23.7,6.1,6.5,32.4,111.6,19.8,92.2,17.7,109.2,80.5,50,0,0,0,0,0,30,0,20,0,0,0,100,0,0,0,0,0,0
"Toxostoma redivivum",40.2,30.5,6.5,6.9,36.4,102.4,9.8,92.4,9.5,133,84.4,50,0,0,0,0,0,50,0,0,0,0,0,100,0,0,0,0,0,0
"Toxostoma rufum",30.1,19.3,5.4,6.3,34.2,102.5,14,86.7,13.9,121.8,68.8,50,0,0,0,0,0,30,0,20,0,0,0,80,20,0,0,0,0,0
"Tringa flavipes",41.4,30.6,2.9,4,49.6,152.6,79.8,71.5,52.8,65.6,77.5,100,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0
"Tringa melanoleuca",59.9,45.9,4.8,6,60.5,194.5,97.6,96.9,50.2,79.8,161.7,80,0,0,20,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0
"Troglodytes aedon",15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,80,0,0,0,0,0,0,0,0,20,0,0,0,100,0,0,0,0,0
"Turdus migratorius",23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,50,0,0,0,0,0,50,0,0,0,0,0,20,40,40,0,0,0,0
"Tympanuchus phasianellus",22.3,11.6,8.4,9.2,40,200.6,79.4,120.6,39.6,103.2,882.4,10,0,0,0,0,0,10,0,10,70,0,0,100,0,0,0,0,0,0
"Tyto alba",32.1,17.6,8.8,13.5,59.7,285.6,115.9,169.7,40.6,119.5,403.3,10,80,10,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,1
"Leiothlypis celata",11.8,7.8,3.8,4,18.4,59.9,13.8,46,23,46.5,9.2,70,0,0,0,0,0,20,10,0,0,0,0,0,50,50,0,0,0,0
"Vireo griseus",13.7,7.4,3.9,4.1,19.5,61.6,11.1,50.6,17.9,48.9,11.4,70,0,0,0,0,0,10,0,0,20,0,0,0,40,40,20,0,0,0
"Vireo huttoni",13.1,6.9,3.7,3.8,19.5,63.2,10.8,52.6,17,49.1,11.3,70,0,0,0,0,0,20,10,0,0,0,0,0,10,70,20,0,0,0
"Vireo solitarius",13.7,7.5,4,4.4,18.6,75.3,22.1,53.2,29.3,51.4,15.3,70,0,0,0,0,0,30,0,0,0,0,0,0,20,40,40,0,0,0
"Xanthocephalus xanthocephalus",22.5,14.6,6.6,9.1,32.9,129.4,34.2,92.6,27,101.9,62.7,100,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,0
"Zenaida asiatica",24,14.4,4.2,4.5,24.8,160.8,57,104.8,35.2,116.2,153,0,0,0,0,0,0,30,0,60,10,0,0,60,30,10,0,0,0,0
"Zenaida macroura",19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,0,0,0,0,0,0,0,0,90,10,0,0,60,40,0,0,0,0,0
"Zonotrichia albicollis",13.6,8.4,5.1,6.3,23,72.8,14.3,58.1,19.7,70.4,24.4,20,0,0,0,0,0,20,0,50,10,0,0,90,10,0,0,0,0,0
"Zonotrichia atricapilla",15.4,8.8,4.7,6.3,24.2,78.2,18.1,60.9,22.9,76.2,32,10,0,0,0,0,0,0,0,60,30,0,0,90,10,0,0,0,0,0
"Zonotrichia leucophrys",15.4,8.4,4.5,6,22.8,78.7,18.5,60.9,23.4,70.6,28,10,0,0,0,0,0,10,0,70,10,0,0,80,10,10,0,0,0,0
"Zonotrichia querula",16,9.2,5.1,7.5,24.3,86.9,20.5,66.3,23.7,80.9,35.5,10,0,0,0,0,0,0,0,90,0,0,0,90,10,0,0,0,0,0
